Report ID,Reporting For,Rollup To,Funds Xfer Entity,Proc Date,Report Date,Settlement Currency,Clearing Currency,Acq/Issuer,Txn Type,Rate Table ID,Count,Clearing Amount,Interchange Credit,Interchange Debit,Original Sale
VSS-120,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL SALE,A1114,15,-131491.98,986.57,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL,A1115,66,-1081613.85,8093.35,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL,A1116,65,-645969.97,5000.1,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL ORIGINAL SALE,,146,-1859075.8,14080.02,0.0,True
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL PURCHASE,,146,-1859075.8,14080.02,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,"MERCHANDISE CREDIT                                                                                                                
    ORIGINAL",A1116,2,4335.25,33.64,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL MERCHANDISE CREDIT,,2,4335.25,33.64,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL WITHDRAWAL,A1115,3,-24084.87,180.22,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL,A1116,1,-1918.88,14.4,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL ORIGINAL WITHDRAWAL,,4,-26003.75,194.62,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL ATM CASH,,4,-26003.75,194.62,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,"ORIGINAL CREDIT                                                                                                                   
    ORIGINAL",A1116,3,2837.07,21.93,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL ORIGINAL CREDIT,,3,2837.07,21.93,0.0,False
Unknown,0006426339,1000624341,0008440755,09AUG25,09AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL ISSUER INTERCHANGE,,155,-1877907.23,55.57,14274.64,False
VSS-120,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL SALE,A1112,1,98945.0,767.02,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL,A1114,427,1487478.62,11531.1,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL,A1115,321,1247027.18,9648.0,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL,A1116,4,43754.98,339.19,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,TOTAL ORIGINAL SALE,,753,2877205.78,22285.31,0.0,True
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,TOTAL PURCHASE,,753,2877205.78,22285.31,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,"MERCHANDISE CREDIT                                                                                                                
    ORIGINAL",A1111,1,-520.0,4.02,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL,A1114,2,-2663.0,20.58,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL,A1116,1,-4999.0,38.63,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,TOTAL ORIGINAL,,4,-8182.0,63.23,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,TOTAL MERCHANDISE CREDIT,,4,-8182.0,63.23,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,KES,ACQUIRER TRANSACTIONS,TOTAL ACQUIRER INTERCHANGE,,757,2869023.78,22285.31,63.23,False
VSS-120,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,USD,ACQUIRER TRANSACTIONS,ORIGINAL SALE,,379,160013.12,160013.12,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,USD,ACQUIRER TRANSACTIONS,DISPUTE FIN,,5,-1416.4,1416.4,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,USD,ACQUIRER TRANSACTIONS,TOTAL PURCHASE,,384,158596.72,160013.12,1416.4,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,USD,ACQUIRER TRANSACTIONS,"MERCHANDISE CREDIT                                                                                                                
    ORIGINAL",,13,-2929.86,2929.86,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,USD,ACQUIRER TRANSACTIONS,TOTAL MERCHANDISE CREDIT,,13,-2929.86,2929.86,0.0,False
Unknown,0006440755,1000624353,0008440755,09AUG25,09AUG25,USD,USD,ACQUIRER TRANSACTIONS,TOTAL ACQUIRER INTERCHANGE,,397,155666.86,160013.12,4346.26,False
VSS-120,0008440755,0008440755,0008440755,09AUG25,09AUG25,USD,BIF,ACQUIRER TRANSACTIONS,ORIGINAL SALE,A1115,3,804000.0,272.72,0.0,False
Unknown,0008440755,0008440755,0008440755,09AUG25,09AUG25,USD,BIF,ACQUIRER TRANSACTIONS,TOTAL PURCHASE,,3,804000.0,272.72,0.0,False
Unknown,0008440755,0008440755,0008440755,09AUG25,09AUG25,USD,BIF,ACQUIRER TRANSACTIONS,TOTAL ACQUIRER INTERCHANGE,,3,804000.0,272.72,0.0,False
VSS-120,0008440755,0008440755,0008440755,09AUG25,09AUG25,USD,BIF,ISSUER TRANSACTIONS,ORIGINAL SALE,A1116,2,-1367400.0,463.73,0.0,False
Unknown,0008440755,0008440755,0008440755,09AUG25,09AUG25,USD,BIF,ISSUER TRANSACTIONS,TOTAL PURCHASE,,2,-1367400.0,463.73,0.0,False
Unknown,0008440755,0008440755,0008440755,09AUG25,09AUG25,USD,BIF,ISSUER TRANSACTIONS,ORIGINAL WITHDRAWAL,A1116,8,-1758000.0,596.18,0.0,False
Unknown,0008440755,0008440755,0008440755,09AUG25,09AUG25,USD,BIF,ISSUER TRANSACTIONS,TOTAL ATM CASH,,8,-1758000.0,596.18,0.0,False
Unknown,0008440755,0008440755,0008440755,09AUG25,09AUG25,USD,BIF,ISSUER TRANSACTIONS,TOTAL ISSUER INTERCHANGE,,10,-3125400.0,1059.91,0.0,False
