Report ID,Reporting For,Rollup To,Funds Xfer Entity,Proc Date,Report Date,Settlement Currency,Clearing Currency,Acq/Issuer,Txn Type,Rate Table ID,Count,Clearing Amount,Interchange Credit,Interchange Debit,Original Sale
VSS-120,0006426339,1000624341,0008440755,10AUG25,10AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL SALE,A1111,1,-22942.15,172.13,0.0,False
VSS-120,0006426339,1000624341,0008440755,10AUG25,10AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL SALE,A1115,8,-219479.61,1642.3,0.0,False
VSS-120,0006426339,1000624341,0008440755,10AUG25,10AUG25,USD,KES,ISSUER TRANSACTIONS,ORIGINAL SALE,A1116,123,-830281.26,6276.08,0.0,False
VSS-120,0006426339,1000624341,0008440755,10AUG25,10AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL ORIGINAL SALE,,132,-1072703.02,8090.51,0.0,True
VSS-120,0006426339,1000624341,0008440755,10AUG25,10AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL PURCHASE,,132,-1072703.02,8090.51,0.0,False
VSS-120,0006426339,1000624341,0008440755,10AUG25,10AUG25,USD,KES,ISSUER TRANSACTIONS,TOTAL ISSUER INTERCHANGE,,132,-1072703.02,8090.51,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL SALE,A1114,1,400.0,3.1,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL SALE,A1115,434,1720662.71,13312.61,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL SALE,A1116,331,1726267.41,13382.11,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,TOTAL ORIGINAL SALE,,766,3447330.12,26697.82,0.0,True
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,TOTAL PURCHASE,,766,3447330.12,26697.82,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,"MERCHANDISE CREDIT                                                                                                                
    ORIGINAL",A1115,3,-664.0,5.12,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,"MERCHANDISE CREDIT                                                                                                                
    ORIGINAL",A1116,6,-16854.0,130.24,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,TOTAL ORIGINAL,,9,-17518.0,135.36,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,TOTAL MERCHANDISE CREDIT,,9,-17518.0,135.36,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,TOTAL ACQUIRER INTERCHANGE,,775,3429812.12,26697.82,135.36,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,USD,ACQUIRER TRANSACTIONS,ORIGINAL SALE,,793,407505.96,407505.96,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,USD,ACQUIRER TRANSACTIONS,TOTAL PURCHASE,,793,407505.96,407505.96,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,USD,ACQUIRER TRANSACTIONS,"MERCHANDISE CREDIT                                                                                                                
    ORIGINAL",,8,-4390.5,4390.5,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,USD,ACQUIRER TRANSACTIONS,TOTAL MERCHANDISE CREDIT,,8,-4390.5,4390.5,0.0,False
VSS-120,0006440755,1000624353,0008440755,10AUG25,10AUG25,USD,USD,ACQUIRER TRANSACTIONS,TOTAL ACQUIRER INTERCHANGE,,801,403115.46,407505.96,4390.5,False
VSS-120,0008440755,0008440755,0008440755,10AUG25,10AUG25,USD,BIF,ISSUER TRANSACTIONS,ORIGINAL SALE,A1116,3,-458756.0,155.59,0.0,False
VSS-120,0008440755,0008440755,0008440755,10AUG25,10AUG25,USD,BIF,ISSUER TRANSACTIONS,TOTAL PURCHASE,,3,-458756.0,155.59,0.0,False
VSS-120,0008440755,0008440755,0008440755,10AUG25,10AUG25,USD,BIF,ISSUER TRANSACTIONS,ORIGINAL WITHDRAWAL,A1116,3,-556000.0,188.56,0.0,False
VSS-120,0008440755,0008440755,0008440755,10AUG25,10AUG25,USD,BIF,ISSUER TRANSACTIONS,TOTAL ATM CASH,,3,-556000.0,188.56,0.0,False
VSS-120,0008440755,0008440755,0008440755,10AUG25,10AUG25,USD,BIF,ISSUER TRANSACTIONS,TOTAL ISSUER INTERCHANGE,,6,-1014756.0,344.15,0.0,False
VSS-120,0008440755,0008440755,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL SALE,A1114,5,23822.0,184.66,0.0,False
VSS-120,0008440755,0008440755,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL SALE,A1115,944,7329245.25,56705.94,0.0,False
VSS-120,0008440755,0008440755,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,ORIGINAL SALE,A1116,"12,660",90402146.44,700792.23,0.0,False
VSS-120,0008440755,0008440755,0008440755,10AUG25,10AUG25,USD,KES,ACQUIRER TRANSACTIONS,TOTAL ORIGINAL SALE,,"13,609",97755213.69,757682.83,0.0,True
